scenario,sequence,age,height,weight,sex,ethnicity
Scenario0,1069,Adult,0.5611104,0.9029179,Female,Asian
Scenario0,107,Adult,0.7714093,0.8867875,Female,African
Scenario0,1070,Adult,0.5074205,0.9786496,Male,LatinAmerican
Scenario0,1071,Adult,0.670589,0.2588927,Female,Asian
Scenario0,1072,Adult,0.2639917,0.03783798,Female,LatinAmerican
Scenario0,1073,Adult,0.8888307,0.8136883,Female,LatinAmerican
Scenario0,1074,Adult,0.1862819,0.9488615,Male,LatinAmerican
Scenario0,1075,Adult,0.9436061,0.9505833,Male,Caucasian
Scenario0,1076,Adult,0.2050202,0.2225996,Male,LatinAmerican
Scenario0,1077,Adult,0.07937515,0.503509,Male,LatinAmerican
Scenario0,1078,Adult,0.8525412,0.08526874,Female,Asian
Scenario0,1079,Adult,0.06349754,0.886682,Female,LatinAmerican
Scenario0,108,Adult,0.8002397,0.5383134,Male,Asian
Scenario0,1080,Adult,0.8237458,0.5314041,Female,Asian
Scenario0,1081,Adult,0.1293325,0.5550859,Male,LatinAmerican
Scenario0,1082,Adult,0.5720001,0.166883,Male,LatinAmerican
Scenario0,1083,Adult,0.7857792,0.3410964,Male,LatinAmerican
Scenario0,1084,Adult,0.2757628,0.2682748,Male,Asian
Scenario0,1085,Child2,0.5914187,0.6486436,Female,Asian
Scenario0,1086,Adult,0.3286892,0.02054214,Male,LatinAmerican
Scenario0,1087,Adult,0.9436061,0.9505833,Male,Caucasian
Scenario0,1088,Child2,0.7537616,0.4687639,Male,Asian
Scenario0,1089,Adult,0.453005,0.8051758,Male,LatinAmerican
Scenario0,109,Adult,0.4431934,0.7337666,Female,Asian
Scenario0,1090,Adult,0.2050202,0.2225996,Male,LatinAmerican
Scenario0,1091,Adult,0.5720001,0.166883,Male,LatinAmerican
Scenario0,1092,Adult,0.8373958,0.6270376,Female,Asian
Scenario0,1093,Child2,0.5914187,0.6486436,Female,Asian
Scenario0,1094,Child1,0.2078547,0.7876486,Male,African
Scenario0,1095,Adult,0.1293325,0.5550859,Male,LatinAmerican
Scenario0,1096,Adult,0.7857792,0.3410964,Male,LatinAmerican
Scenario0,1097,Adult,0.1508064,0.4681046,Male,Asian
Scenario0,1098,Adult,0.1098315,0.7750269,Male,LatinAmerican
Scenario0,1099,Adult,0.2014508,0.9369771,Female,African
Scenario0,11,Adult,0.5556937,0.02741003,Male,African
Scenario0,110,Adult,0.030756,0.9902505,Male,African
Scenario0,1100,Child1,0.3782712,0.946076,Female,Caucasian
Scenario0,1101,Adult,0.4401463,0.7690846,Female,African
Scenario0,1102,Preteen,0.7821764,0.9052942,Male,Caucasian
Scenario0,1103,Adult,0.1743437,0.08918405,Male,African
Scenario0,1104,Adult,0.5110102,0.2147453,Female,African
Scenario0,1105,Adult,0.009564877,0.2933573,Female,Asian
Scenario0,1106,Adult,0.5110102,0.2147453,Female,African
Scenario0,1107,Adult,0.8049077,0.5548683,Female,Asian
Scenario0,1108,Adult,0.5344498,0.3079517,Female,Caucasian
Scenario0,1109,Adult,0.3491729,0.7532735,Female,LatinAmerican
Scenario0,111,Preteen,0.8968027,0.4954122,Male,LatinAmerican
Scenario0,1110,Adult,0.6573249,0.2594031,Male,Caucasian
Scenario0,1111,Adult,0.6954304,0.5624098,Male,African
Scenario0,1112,Adult,0.439878,0.1217,Male,African
Scenario0,1113,Adult,0.3199422,0.2082608,Male,Asian
Scenario0,1114,Child1,0.365817,0.572667,Female,LatinAmerican
Scenario0,1115,Child1,0.428146,0.6818457,Female,Asian
Scenario0,1116,Adult,0.4121665,0.7013434,Female,Caucasian
Scenario0,1117,Adult,0.1960801,0.8340092,Male,LatinAmerican
Scenario0,1118,Adult,0.7095212,0.02323079,Female,African
Scenario0,1119,Adult,0.5150173,0.01566148,Female,Caucasian
Scenario0,112,Adult,0.6623237,0.9933594,Female,African
Scenario0,1120,Adult,0.0002534389,0.5067339,Female,Caucasian
Scenario0,1121,Adult,0.5344498,0.3079517,Female,Caucasian
Scenario0,1122,Adult,0.9702456,0.004798889,Male,Asian
Scenario0,1123,Adult,0.4121665,0.7013434,Female,Caucasian
Scenario0,1124,Child2,0.4340144,0.5010253,Female,Caucasian
Scenario0,1125,Adult,0.8713765,0.2124203,Male,LatinAmerican
Scenario0,1126,Child1,0.09649682,0.4775766,Male,LatinAmerican
Scenario0,1127,Toddler,0.09949291,0.4290042,Male,Caucasian
Scenario0,1128,Adult,0.9283985,0.1715089,Female,Asian
Scenario0,1129,Adult,0.5344498,0.3079517,Female,Caucasian
Scenario0,113,Adult,0.07629287,0.1728154,Female,African
Scenario0,1130,Adult,0.9702456,0.004798889,Male,Asian
Scenario0,1131,Adult,0.4121665,0.7013434,Female,Caucasian
Scenario0,1132,Child2,0.4340144,0.5010253,Female,Caucasian
Scenario0,1133,Adult,0.6954304,0.5624098,Male,African
Scenario0,1134,Adult,0.0002534389,0.5067339,Female,Caucasian
Scenario0,1135,Adult,0.6954304,0.5624098,Male,African
Scenario0,1136,Adult,0.6954304,0.5624098,Male,African
Scenario0,1137,Adult,0.1960801,0.8340092,Male,LatinAmerican
Scenario0,1138,Child1,0.8576237,0.8905958,Female,Asian
Scenario0,1139,Child1,0.09649682,0.4775766,Male,LatinAmerican
Scenario0,114,Preteen,0.9610816,0.06036282,Male,African
Scenario0,1140,Adult,0.7095212,0.02323079,Female,African
Scenario0,1141,Adult,0.2050046,0.645658,Female,Caucasian
Scenario0,1142,Adult,0.4121665,0.7013434,Female,Caucasian
Scenario0,1143,Adult,0.1596873,0.2035004,Female,Asian
Scenario0,1144,Adult,0.1960801,0.8340092,Male,LatinAmerican
Scenario0,1145,Adult,0.9283985,0.1715089,Female,Asian
Scenario0,1146,Preteen,0.7821764,0.9052942,Male,Caucasian
Scenario0,1147,Adult,0.9283985,0.1715089,Female,Asian
Scenario0,1148,Adult,0.3199422,0.2082608,Male,Asian
Scenario0,1149,Adult,0.8713765,0.2124203,Male,LatinAmerican
Scenario0,115,Child1,0.9212102,0.5685287,Male,Caucasian
Scenario0,1150,Adult,0.2050046,0.645658,Female,Caucasian
Scenario0,1151,Adult,0.3019782,0.5033842,Male,LatinAmerican
Scenario0,1152,Adult,0.8204219,0.9160453,Female,African
Scenario0,1153,Adult,0.5859507,0.811631,Male,LatinAmerican
Scenario0,1154,Adult,0.8944782,0.1948894,Female,LatinAmerican
Scenario0,1155,Adult,0.5478938,0.9984353,Male,Caucasian
Scenario0,1156,Child2,0.2524558,0.2139944,Male,LatinAmerican
Scenario0,1157,Adult,0.5435194,0.2178059,Female,Asian
Scenario0,1158,Adult,0.6955565,0.9943718,Female,African
Scenario0,1159,Adult,0.5551401,0.9048862,Male,Asian
Scenario0,116,Adult,0.1429442,0.7069143,Female,LatinAmerican
Scenario0,1160,Adult,0.8231419,0.5994865,Female,African
Scenario0,1161,Child2,0.6195722,0.3524765,Female,Asian
Scenario0,1162,Adult,0.9148675,0.5811263,Female,LatinAmerican
Scenario0,1163,Adult,0.2085102,0.2847916,Female,African
Scenario0,1164,Adult,0.3394568,0.3172877,Female,African
Scenario0,1165,Adult,0.5073234,0.9972912,Male,Caucasian
Scenario0,1166,Adult,0.9148675,0.5811263,Female,LatinAmerican
Scenario0,1167,Adult,0.04135144,0.07554567,Female,African
Scenario0,1168,Adult,0.2085102,0.2847916,Female,African
Scenario0,1169,Adult,0.03558671,0.8834089,Female,Asian
Scenario0,117,Preteen,0.9610816,0.06036282,Male,African
Scenario0,1170,Adult,0.09236789,0.1519911,Male,Caucasian
Scenario0,1171,Adult,0.8955328,0.6819311,Male,African
Scenario0,1172,Adult,0.5802805,0.01087284,Female,Caucasian
Scenario0,1173,Adult,0.9499352,0.2030389,Male,African
Scenario0,1174,Adult,0.6025473,0.4931231,Female,Asian
Scenario0,1175,Adult,0.2085102,0.2847916,Female,African
Scenario0,1176,Adult,0.2457933,0.4735074,Male,LatinAmerican
Scenario0,1177,Adult,0.5073234,0.9972912,Male,Caucasian
Scenario0,1178,Adult,0.100638,0.6789458,Female,LatinAmerican
Scenario0,1179,Adult,0.760005,0.2600189,Female,Caucasian
Scenario0,118,Adult,0.4827651,0.8576131,Female,Caucasian
Scenario0,1180,Adult,0.5073234,0.9972912,Male,Caucasian
Scenario0,1181,Adult,0.7540452,0.8294477,Female,Asian
Scenario0,1182,Adult,0.6153533,0.6541979,Male,Asian
Scenario0,1183,Adult,0.6025473,0.4931231,Female,Asian
Scenario0,1184,Adult,0.8955328,0.6819311,Male,African
Scenario0,1185,Adult,0.09236789,0.1519911,Male,Caucasian
Scenario0,1186,Child2,0.2524558,0.2139944,Male,LatinAmerican
Scenario0,1187,Adult,0.9148675,0.5811263,Female,LatinAmerican
Scenario0,1188,Adult,0.2806479,0.7941542,Male,LatinAmerican
Scenario0,1189,Adult,0.8658856,0.5338686,Male,LatinAmerican
Scenario0,119,Adult,0.4438232,0.3482722,Male,African
Scenario0,1190,Preteen,0.4962775,0.2739677,Female,LatinAmerican
Scenario0,1191,Adult,0.100638,0.6789458,Female,LatinAmerican
Scenario0,1192,Adult,0.005654931,0.5953954,Female,Asian
Scenario0,1193,Adult,0.4031087,0.7580569,Male,LatinAmerican
Scenario0,1194,Child2,0.08218515,0.2262912,Female,Caucasian
Scenario0,1195,Adult,0.5551401,0.9048862,Male,Asian
Scenario0,1196,Adult,0.8955328,0.6819311,Male,African
Scenario0,1197,Adult,0.04623055,0.1995716,Male,Asian
Scenario0,1198,Adult,0.5802805,0.01087284,Female,Caucasian
Scenario0,1199,Adult,0.9148675,0.5811263,Female,LatinAmerican
Scenario0,12,Adult,0.8560523,0.05959535,Male,Asian
Scenario0,120,Adult,0.4827651,0.8576131,Female,Caucasian
Scenario0,1200,Adult,0.3019782,0.5033842,Male,LatinAmerican
Scenario0,1201,Adult,0.5427617,0.8361396,Male,Asian
Scenario0,1202,Adult,0.8172736,0.1823008,Male,Caucasian
Scenario0,1203,Adult,0.8635093,0.4369557,Male,LatinAmerican
Scenario0,1204,Adult,0.6949552,0.07538092,Female,LatinAmerican
Scenario0,1205,Adult,0.9515488,0.9150082,Female,Caucasian
Scenario0,1206,Adult,0.8172736,0.1823008,Male,Caucasian
Scenario0,1207,Adult,0.6949552,0.07538092,Female,LatinAmerican
Scenario0,1208,Child2,0.4208442,0.6980475,Female,Asian
Scenario0,1209,Adult,0.9866952,0.9532297,Female,African
Scenario0,121,Adult,0.5566796,0.1498659,Male,African
Scenario0,1210,Adult,0.3307039,0.7035314,Male,Caucasian
Scenario0,1211,Adult,0.6146665,0.4839691,Female,Caucasian
Scenario0,1212,Adult,0.4331199,0.1907858,Male,Caucasian
Scenario0,1213,Adult,0.873261,0.3056651,Male,LatinAmerican
Scenario0,1214,Child2,0.8153183,0.3595433,Female,Caucasian
Scenario0,1215,Child1,0.191347,0.3081014,Female,African
Scenario0,1216,Adult,0.8172736,0.1823008,Male,Caucasian
Scenario0,1217,Adult,0.3906355,0.8302735,Female,African
Scenario0,1218,Adult,0.3307039,0.7035314,Male,Caucasian
Scenario0,1219,Adult,0.4331199,0.1907858,Male,Caucasian
Scenario0,122,Adult,0.04595304,0.9973103,Female,Caucasian
Scenario0,1220,Adult,0.8172736,0.1823008,Male,Caucasian
Scenario0,1221,Adult,0.2881892,0.5932739,Male,LatinAmerican
Scenario0,1222,Adult,0.8852019,0.3672286,Female,African
Scenario0,1223,Adult,0.6794066,0.7112629,Male,Asian
Scenario0,1224,Adult,0.9540766,0.5327345,Female,Asian
Scenario0,1225,Adult,0.873261,0.3056651,Male,LatinAmerican
Scenario0,1226,Adult,0.06429684,0.7394199,Male,African
Scenario0,1227,Adult,0.5775697,0.753293,Male,African
Scenario0,1228,Adult,0.5427617,0.8361396,Male,Asian
Scenario0,1229,Adult,0.8971909,0.1950676,Male,LatinAmerican
Scenario0,123,Adult,0.0592792,0.5222473,Female,African
Scenario0,1230,Adult,0.8801924,0.07522714,Female,Caucasian
Scenario0,1231,Adult,0.6146665,0.4839691,Female,Caucasian
Scenario0,1232,Adult,0.7174208,0.6456474,Male,African
Scenario0,1233,Adult,0.9866952,0.9532297,Female,African
Scenario0,1234,Adult,0.8172736,0.1823008,Male,Caucasian
Scenario0,1235,Adult,0.8635093,0.4369557,Male,LatinAmerican
Scenario0,1236,Preteen,0.1460857,0.1578987,Female,Asian
Scenario0,1237,Child2,0.8153183,0.3595433,Female,Caucasian
Scenario0,1238,Adult,0.9540766,0.5327345,Female,Asian
Scenario0,1239,Adult,0.8427207,0.2823137,Male,African
Scenario0,124,Adult,0.7341167,0.8630321,Female,LatinAmerican
Scenario0,1240,Adult,0.7174208,0.6456474,Male,African
Scenario0,1241,Child2,0.5150288,0.6882721,Male,Caucasian
Scenario0,1242,Adult,0.8971909,0.1950676,Male,LatinAmerican
Scenario0,1243,Preteen,0.4507508,0.630859,Male,African
Scenario0,1244,Adult,0.06429684,0.7394199,Male,African
Scenario0,1245,Adult,0.06429684,0.7394199,Male,African
Scenario0,1246,Adult,0.6965908,0.03909433,Male,LatinAmerican
Scenario0,1247,Adult,0.7174208,0.6456474,Male,African
Scenario0,1248,Adult,0.9156306,0.09907591,Male,Caucasian
Scenario0,1249,Adult,0.1147481,0.5479367,Female,Caucasian
Scenario0,125,Adult,0.1517373,0.8617451,Male,Asian
Scenario0,1250,Child2,0.9793203,0.4487956,Female,LatinAmerican
Scenario0,1251,Child1,0.947261,0.9310397,Female,Asian
Scenario0,1252,Adult,0.7746302,0.7770891,Female,Asian
Scenario0,1253,Adult,0.4720837,0.8184925,Female,Caucasian
Scenario0,1254,Adult,0.4615963,0.2971846,Female,Asian
Scenario0,1255,Adult,0.8916143,0.4907759,Female,African
Scenario0,1256,Adult,0.7746302,0.7770891,Female,Asian
Scenario0,1257,Adult,0.09810328,0.3678045,Male,Caucasian
Scenario0,1258,Adult,0.4548279,0.1179689,Male,Asian
Scenario0,1259,Adult,0.6939962,0.2454823,Female,African
Scenario0,126,Adult,0.9727557,0.743744,Female,Caucasian
Scenario0,1260,Child2,0.6616554,0.9059055,Male,LatinAmerican
Scenario0,1261,Adult,0.09810328,0.3678045,Male,Caucasian
Scenario0,1262,Adult,0.3407934,0.2870864,Male,African
Scenario0,1263,Adult,0.3242201,0.4983418,Female,Caucasian
Scenario0,1264,Adult,0.2281733,0.4980913,Male,African
Scenario0,1265,Adult,0.8747832,0.1061933,Male,African
Scenario0,1266,Child1,0.545325,0.5659233,Male,LatinAmerican
Scenario0,1267,Adult,0.7182631,0.4933045,Female,African
Scenario0,1268,Adult,0.09810328,0.3678045,Male,Caucasian
Scenario0,1269,Adult,0.8747832,0.1061933,Male,African
Scenario0,127,Preteen,0.2734697,0.2118471,Male,Asian
Scenario0,1270,Adult,0.02207398,0.520821,Male,Caucasian
Scenario0,1271,Adult,0.271315,0.6485063,Male,Caucasian
Scenario0,1272,Toddler,0.7401168,0.6780282,Female,Asian
Scenario0,1273,Adult,0.468479,0.6045601,Female,Asian
Scenario0,1274,Preteen,0.2321866,0.9424421,Female,Caucasian
Scenario0,1275,Adult,0.3034964,0.867043,Male,Caucasian
Scenario0,1276,Adult,0.3867719,0.1118587,Female,Caucasian
Scenario0,1277,Adult,0.6939962,0.2454823,Female,African
Scenario0,1278,Child2,0.5130354,0.1675265,Female,African
Scenario0,1279,Adult,0.281153,0.8092812,Female,Asian
Scenario0,128,Adult,0.3983829,0.9148313,Male,Asian
Scenario0,1280,Adult,0.468479,0.6045601,Female,Asian
Scenario0,1281,Adult,0.780076,0.7143178,Female,Asian
Scenario0,1282,Child1,0.947261,0.9310397,Female,Asian
Scenario0,1283,Adult,0.2819331,0.976403,Female,African
Scenario0,1284,Adult,0.7879951,0.2858106,Male,Asian
Scenario0,1285,Adult,0.281153,0.8092812,Female,Asian
Scenario0,1286,Toddler,0.7401168,0.6780282,Female,Asian
Scenario0,1287,Adult,0.6286478,0.8884535,Male,LatinAmerican
Scenario0,1288,Adult,0.8062295,0.5374898,Male,Asian
Scenario0,1289,Adult,0.3761046,0.7267159,Female,Caucasian
Scenario0,129,Adult,0.1485248,0.9261264,Male,African
Scenario0,1290,Adult,0.327749,0.102402,Female,Caucasian
Scenario0,1291,Adult,0.7879951,0.2858106,Male,Asian
Scenario0,1292,Child1,0.947261,0.9310397,Female,Asian
Scenario0,1293,Adult,0.4720837,0.8184925,Female,Caucasian
Scenario0,1294,Adult,0.5335754,0.494177,Female,Caucasian
Scenario0,1295,Adult,0.7879951,0.2858106,Male,Asian
Scenario0,1296,Child1,0.947261,0.9310397,Female,Asian
Scenario0,1297,Adult,0.02207398,0.520821,Male,Caucasian
Scenario0,1298,Toddler,0.7401168,0.6780282,Female,Asian
Scenario0,1299,Adult,0.1385443,0.3225713,Male,Caucasian
Scenario0,13,Adult,0.08694506,0.4827021,Female,African
Scenario0,130,Adult,0.2094574,0.5796635,Male,Caucasian
Scenario0,1300,Adult,0.9860206,0.6808779,Female,African
Scenario0,1301,Adult,0.5474381,0.7022767,Male,African
Scenario0,1302,Adult,0.2624505,0.109107,Female,LatinAmerican
Scenario0,1303,Adult,0.9392613,0.08337379,Male,Caucasian
Scenario0,1304,Adult,0.6644223,0.7731773,Female,LatinAmerican
Scenario0,1305,Adult,0.3397033,0.350929,Male,Caucasian
Scenario0,1306,Adult,0.8395699,0.1986625,Female,LatinAmerican
Scenario0,1307,Adult,0.7962409,0.6901797,Female,Caucasian
Scenario0,1308,Adult,0.1345485,0.7908267,Male,African
Scenario0,1309,Adult,0.0442698,0.7833833,Female,Asian
Scenario0,131,Adult,0.9727557,0.743744,Female,Caucasian
Scenario0,1310,Adult,0.6530579,0.03824615,Female,LatinAmerican
Scenario0,1311,Adult,0.1414381,0.4506688,Female,LatinAmerican
Scenario0,1312,Adult,0.8878043,0.8892151,Female,African
Scenario0,1313,Adult,0.2375169,0.9018444,Male,African
Scenario0,1314,Preteen,0.2088387,0.6861683,Female,Caucasian
Scenario0,1315,Adult,0.3338238,0.6109544,Female,Asian
Scenario0,1316,Adult,0.2428423,0.09158015,Female,LatinAmerican
Scenario0,1317,Adult,0.2375169,0.9018444,Male,African
Scenario0,1318,Adult,0.1345485,0.7908267,Male,African
Scenario0,1319,Adult,0.5672514,0.4329467,Male,African
Scenario0,132,Adult,0.6944723,0.2496492,Male,Asian
Scenario0,1320,Adult,0.7588174,0.4843538,Female,Asian
Scenario0,1321,Adult,0.1414381,0.4506688,Female,LatinAmerican
Scenario0,1322,Adult,0.7369863,0.1578737,Male,LatinAmerican
Scenario0,1323,Adult,0.1414381,0.4506688,Female,LatinAmerican
Scenario0,1324,Adult,0.3866017,0.9193244,Male,Caucasian
Scenario0,1325,Adult,0.543013,0.9842694,Male,Asian
Scenario0,1326,Adult,0.7369863,0.1578737,Male,LatinAmerican
Scenario0,1327,Adult,0.5672514,0.4329467,Male,African
Scenario0,1328,Adult,0.8073401,0.8120327,Female,African
Scenario0,1329,Adult,0.5474381,0.7022767,Male,African
Scenario0,133,Adult,0.1517373,0.8617451,Male,Asian
Scenario0,1330,Adult,0.3485236,0.1908934,Female,African
Scenario0,1331,Adult,0.5149897,0.7956258,Male,Caucasian
Scenario0,1332,Adult,0.8206155,0.4915336,Female,LatinAmerican
Scenario0,1333,Child2,0.8917791,0.4367104,Male,African
Scenario0,1334,Adult,0.2375169,0.9018444,Male,African
Scenario0,1335,Child2,0.8917791,0.4367104,Male,African
Scenario0,1336,Adult,0.3397033,0.350929,Male,Caucasian
Scenario0,1337,Adult,0.2624505,0.109107,Female,LatinAmerican
Scenario0,1338,Toddler,0.833165,0.1675769,Female,LatinAmerican
Scenario0,1339,Adult,0.8206155,0.4915336,Female,LatinAmerican
Scenario0,134,Adult,0.8759696,0.983235,Male,Caucasian
Scenario0,1340,Adult,0.1272658,0.7138081,Female,African
Scenario0,1341,Adult,0.9509188,0.4490561,Male,Caucasian
Scenario0,1342,Adult,0.2375169,0.9018444,Male,African
Scenario0,1343,Toddler,0.9208773,0.5329262,Male,African
Scenario0,1344,Adult,0.7588174,0.4843538,Female,Asian
Scenario0,1345,Adult,0.2375169,0.9018444,Male,African
Scenario0,1346,Child1,0.4393348,0.7555149,Female,Caucasian
Scenario0,1347,Adult,0.8725836,0.2092941,Female,African
Scenario0,1348,Adult,0.5412413,0.266513,Male,African
Scenario0,1349,Preteen,0.2088387,0.6861683,Female,Caucasian
Scenario0,135,Adult,0.9700679,0.9584008,Male,African
Scenario0,1350,Adult,0.6530579,0.03824615,Female,LatinAmerican
Scenario0,1351,Adult,0.8141606,0.0778631,Female,African
Scenario0,1352,Adult,0.08287358,0.5971327,Female,LatinAmerican
Scenario0,1353,Adult,0.4761789,0.1343304,Female,African
Scenario0,1354,Adult,0.5585883,0.4747427,Female,African
Scenario0,1355,Adult,0.7654095,0.8746706,Female,Asian
Scenario0,1356,Adult,0.5376426,0.277051,Female,LatinAmerican
Scenario0,1357,Adult,0.08024001,0.5512635,Female,African
Scenario0,1358,Adult,0.8507897,0.6930881,Male,Caucasian
Scenario0,1359,Adult,0.07560802,0.7987955,Male,Caucasian
Scenario0,136,Adult,0.3564832,0.0203774,Male,African
Scenario0,1360,Adult,0.4761789,0.1343304,Female,African
Scenario0,1361,Adult,0.6570619,0.6125398,Female,African
Scenario0,1362,Adult,0.2499686,0.3107671,Female,Caucasian
Scenario0,1363,Adult,0.8891671,0.4653788,Male,LatinAmerican
Scenario0,1364,Adult,0.6615804,0.2222898,Male,Asian
Scenario0,1365,Child2,0.7727542,0.01797819,Female,Asian
Scenario0,1366,Adult,0.7866247,0.06385481,Female,Asian
Scenario0,1367,Adult,0.628377,0.7423297,Male,Caucasian
Scenario0,1368,Adult,0.1023307,0.9776827,Female,Caucasian
Scenario0,1369,Adult,0.5376426,0.277051,Female,LatinAmerican
Scenario0,137,Adult,0.5755978,0.1558406,Male,Caucasian
Scenario0,1370,Adult,0.3813469,0.2459946,Female,Caucasian
Scenario0,1371,Adult,0.4581866,0.5007064,Female,LatinAmerican
Scenario0,1372,Adult,0.3813469,0.2459946,Female,Caucasian
Scenario0,1373,Adult,0.2058835,0.3035076,Female,African
Scenario0,1374,Adult,0.1480402,0.8377739,Male,LatinAmerican
Scenario0,1375,Adult,0.5376426,0.277051,Female,LatinAmerican
Scenario0,1376,Adult,0.1480402,0.8377739,Male,LatinAmerican
Scenario0,1377,Adult,0.8327651,0.8974438,Male,Caucasian
Scenario0,1378,Adult,0.8507897,0.6930881,Male,Caucasian
Scenario0,1379,Adult,0.2499686,0.3107671,Female,Caucasian
Scenario0,138,Adult,0.5768249,0.9803146,Male,Caucasian
Scenario0,1380,Adult,0.8327651,0.8974438,Male,Caucasian
